#         t          x          y          z         vx         vy         vz
   3642.857    -93.410    285.340    -46.920    121.040   -181.960     86.970
   3714.286    -84.460    271.700    -41.120    124.940   -200.670     80.240
   3785.714    -75.360    256.470    -35.690    125.590   -228.340     73.090
   3857.143    -66.400    239.120    -31.030    123.920   -260.550     53.000
   3928.571    -58.400    219.140    -28.270     95.980   -298.710     13.130
   4000.000    -53.510    197.840    -29.570     41.550   -285.350    -51.820
   4071.429    -51.580    179.730    -35.140     16.830   -232.050    -66.760
   4142.857    -50.710    165.200    -39.780     20.610   -187.090    -59.550
   4214.286    -49.560    153.250    -43.590     24.230   -158.600    -42.800
   4285.714    -47.990    142.790    -45.960     27.030   -136.880    -25.530
   4357.143    -46.750    133.850    -47.100     25.980   -115.180    -14.950
   4428.571    -45.440    126.250    -47.910     23.610   -100.610     -5.210
   4500.000    -44.350    119.710    -47.980     21.770    -83.630     -0.800
   4571.429    -43.240    114.370    -48.120     20.540    -66.500      2.750
   4642.857    -41.840    108.890    -46.670     15.640    -55.200      8.900
   4714.286    -40.810    105.420    -45.920     14.020    -44.210     14.030
   4785.714    -39.750    102.830    -45.010     13.270    -30.850     14.150
   4857.143    -38.680    101.020    -44.000     15.400    -21.080     16.990
   4928.571    -37.480     99.910    -42.860     17.510    -12.220     17.880
   5000.000    -36.150     99.420    -41.580     19.020     -4.150     22.170
   5071.429    -34.690     99.490    -40.070     19.350      6.070     25.140
   5142.857    -33.040    100.170    -38.280     23.850     13.790     30.070
   5214.286    -31.280    101.380    -36.150     24.020     19.970     34.050
   5285.714    -29.370    103.140    -33.740     27.610     28.910     37.720
   5357.143    -27.230    105.520    -31.100     31.390     38.150     40.630
   5428.571    -24.900    108.560    -28.070     35.220     46.900     46.740
   5500.000    -22.420    112.260    -24.620     38.480     55.950     51.960
   5571.429    -19.770    116.870    -20.760     42.640     71.200     58.500
   5642.857    -16.700    122.570    -16.410     50.100     87.240     68.980
   5714.286    -13.040    129.600    -11.310     61.020    110.630     79.420
   5785.714     -8.280    138.640     -5.070     80.140    146.320    100.270
   5857.143     -0.470    150.730      3.230    196.900    149.040    134.290
   5928.571     10.510    156.820      9.140    121.910     20.030     64.200
   6000.000     17.680    157.910     12.140     51.670     -7.100     40.230
   6071.429     21.920    156.370     14.000      9.050    -21.710     20.470
   6142.857     24.020    152.830     15.370    -15.500    -51.940      9.420
   6214.286     24.170    147.100     16.100    -54.220   -117.020    -21.510
   6285.714     24.800    141.310     16.040     55.860      0.950     50.680
   6357.143     27.450    139.810     18.090     36.350     -7.560     49.310
   6428.571     29.580    138.250     20.110     29.450    -27.740     39.620
   6500.000     31.260    136.100     21.950     37.720    -34.770     39.290
   6571.429     32.800    134.230     24.400     36.140    -26.250     47.560
   6642.857     34.500    132.640     26.910     41.790    -26.590     43.800
   6714.286     37.550    131.470     29.840     40.900    -27.720     42.110
   6785.714     40.260    129.410     32.420     37.290    -34.600     30.030
   6857.143     43.140    127.200     34.460     38.880    -33.110     30.860
   6928.571     44.210    125.510     35.910     40.740    -34.160     27.800
   7000.000     46.840    123.230     38.150     40.030    -32.180     26.870
   7071.429     49.340    120.760     40.090     34.660    -36.050     14.020
   7142.857     51.860    118.340     41.750     33.780    -30.290     13.390
   7214.286     54.410    116.180     43.450     34.750    -27.740     14.040
   7285.714     57.060    114.250     45.140     36.860    -28.240     14.680
   7357.143     59.700    112.420     46.850     35.710    -25.000     21.240
   7428.571     62.220    110.760     48.490     35.600    -22.790     19.710
   7500.000     64.870    109.140     50.060     36.010    -24.210     21.470
   7571.429     67.510    107.570     51.650     36.070    -21.420     22.230
   7642.857     70.170    106.070     53.190     34.390    -21.170     21.960
   7714.286     72.780    104.560     54.650     32.140    -20.220     21.940
   7785.714     75.390    103.200     56.150     32.420    -17.400     22.260
   7857.143     77.990    101.860     57.600     29.200    -19.240     18.100
   7928.571     80.590    100.530     59.080     32.620    -18.700     18.300
   8000.000     83.230     99.150     60.640     34.970    -18.990     20.460
   8071.429     85.760     97.810     62.390     34.830    -16.710     22.990
   8142.857     88.180     96.570     64.280     34.400    -16.200     23.240
   8214.286     90.500     95.400     66.220     32.370    -17.880     26.330
   8285.714     92.730     94.130     68.230     34.960    -17.990     32.010
   8357.143     94.950     92.770     70.360     36.440    -19.830     34.960
   8428.571     97.350     91.150     72.390     36.490    -25.430     31.520
   8500.000     99.840     89.310     74.310     36.700    -28.210     31.160
   8571.429    102.500     87.330     76.250     36.200    -27.090     30.500
   8642.857    105.070     85.280     78.110     31.550    -32.600     24.970
   8714.286    107.410     83.200     79.990     30.290    -29.800     24.340
   8785.714    109.760     81.260     81.830     33.610    -27.340     23.720
   8857.143    112.120     79.380     83.560     32.160    -29.090     18.940
   8928.571    114.350     77.400     85.180     30.540    -26.810     18.830
   9000.000    116.530     75.420     86.840     31.810    -26.190     20.720
   9071.429    118.600     73.400     88.530     29.110    -23.650     21.270
   9142.857    120.580     71.390     90.170     31.170    -25.490     19.650
   9214.286    122.550     69.300     91.770     31.920    -26.040     20.920
   9285.714    124.490     67.300     93.290     30.170    -24.290     19.230
   9357.143    126.440     65.380     94.800     30.970    -25.730     21.280
   9428.571    128.350     63.640     96.200     27.670    -22.510     21.600
   9500.000    130.250     62.080     97.540     24.920    -17.900     23.960
   9571.429    132.230     60.790     98.900     26.580    -15.870     21.920
   9642.857    134.300     59.670    100.420     27.710    -14.050     23.200
   9714.286    136.540     58.700    102.210     29.520    -13.600     23.760
   9785.714    138.910     57.780    104.130     33.050    -14.780     24.280
   9857.143    141.420     56.820    106.180     33.670    -18.690     27.480
   9928.571    143.930     55.810    108.330     34.440    -21.530     29.950
  10000.000    146.420     54.750    110.490     35.250    -19.550     29.600
  10071.429    148.990     53.660    112.660     34.760    -19.670     31.400
  10142.857    151.570     52.440    114.790     32.610    -18.540     32.450
  10214.286    154.180     51.050    116.910     32.800    -20.170     32.290
  10285.714    156.920     49.490    119.010     35.350    -19.650     30.120
  10357.143    159.680     47.810    121.190     34.850    -22.240     29.090
  10428.571    162.340     46.060    123.450     33.730    -22.750     27.370
  10500.000    164.870     44.130    125.640     31.720    -28.740     24.250
  10571.429    167.190     42.060    127.620     30.720    -31.620     19.870
  10642.857    169.300     39.990    129.350     29.780    -28.640     18.900
  10714.286    171.220     38.060    130.890     30.640    -27.010     18.530
  10785.714    173.000     36.220    132.280     27.400    -25.390     18.770
  10857.143    174.640     34.470    133.570     26.090    -18.170     17.990
  10928.571    176.280     32.900    134.800     28.070    -17.250     21.610
  11000.000    177.990     31.480    136.120     30.020    -15.260     25.770
  11071.429    179.920     30.150    137.560     31.210    -16.700     26.840
  11142.857    181.940     28.810    139.090     29.260    -20.110     28.470
  11214.286    183.960     27.440    140.710     29.010    -20.170     29.320
  11285.714    186.120     26.240    142.350     29.490    -16.740     27.490
  11357.143    188.390     25.040    144.020     29.540    -21.920     26.780
