#         t          x          y          z         vx         vy         vz
      0.000   -377.690    611.450   -284.630     72.580    -72.710     49.860
     71.429   -372.500    606.250   -281.070     73.110    -74.220     50.420
    142.857   -367.150    600.900   -277.590     75.390    -76.860     50.590
    214.286   -361.740    595.420   -274.020     75.320    -78.630     53.100
    285.714   -356.460    589.870   -270.480     72.320    -81.240     51.850
    357.143   -351.270    584.160   -266.970     69.630    -81.060     49.350
    428.571   -346.230    578.310   -263.540     67.930    -82.300     47.160
    500.000   -341.310    572.330   -260.220     69.450    -82.630     43.290
    571.429   -336.500    566.240   -256.840     66.220    -84.580     45.580
    642.857   -331.980    560.210   -253.490     62.750    -83.520     44.070
    714.286   -327.770    554.330   -250.340     58.690    -81.320     42.010
    785.714   -323.810    548.560   -247.320     52.150    -81.420     43.380
    857.143   -320.190    542.980   -244.380     46.350    -75.740     42.000
    928.571   -316.810    537.670   -241.480     45.790    -71.330     39.800
   1000.000   -313.560    532.560   -238.370     45.210    -68.610     43.080
   1071.429   -310.400    527.670   -235.080     42.960    -66.800     48.200
   1142.857   -307.160    523.020   -231.570     45.310    -64.020     49.850
   1214.286   -303.860    518.510   -227.890     47.990    -63.350     54.080
   1285.714   -300.420    514.050   -223.930     48.560    -62.310     56.780
   1357.143   -296.790    509.690   -219.820     52.680    -61.410     59.180
   1428.571   -292.990    505.280   -215.510     55.660    -62.300     62.080
   1500.000   -288.910    500.830   -211.040     57.540    -62.440     62.280
   1571.429   -284.680    496.350   -206.540     60.370    -62.970     64.080
   1642.857   -280.200    491.770   -201.900     63.960    -63.630     63.930
   1714.286   -275.500    487.020   -197.120     70.390    -68.520     66.220
   1785.714   -270.550    482.130   -192.180     73.320    -68.520     67.440
   1857.143   -265.400    477.220   -187.240     75.780    -70.480     70.330
   1928.571   -260.030    472.200   -182.240     79.220    -73.630     71.510
   2000.000   -254.500    467.040   -177.220     78.880    -73.750     71.020
   2071.429   -248.760    461.690   -172.170     83.170    -77.380     71.830
   2142.857   -242.760    456.060   -167.000     84.540    -80.290     72.460
   2214.286   -236.570    450.220   -161.760     86.410    -81.680     72.850
   2285.714   -230.330    444.250   -156.410     89.220    -84.300     72.940
   2357.143   -223.970    438.150   -151.090     92.660    -86.950     71.150
   2428.571   -217.600    431.750   -145.780     89.120    -91.510     73.090
   2500.000   -211.230    425.120   -140.480     89.890    -94.130     73.370
   2571.429   -204.720    418.270   -135.120     92.900    -96.480     73.850
   2642.857   -198.150    411.270   -129.790     90.790    -98.290     74.630
   2714.286   -191.490    404.240   -124.450     94.460    -98.630     72.910
   2785.714   -184.680    397.010   -119.080     94.300   -100.630     75.060
   2857.143   -177.780    389.620   -113.610     96.760   -104.750     77.050
   2928.571   -170.790    381.980   -107.980     96.650   -105.780     77.820
   3000.000   -163.790    374.090   -102.250     96.580   -111.930     80.350
   3071.429   -156.710    365.910    -96.350     98.870   -112.420     82.120
   3142.857   -149.410    357.510    -90.380    101.610   -117.510     82.870
   3214.286   -142.030    348.780    -84.300    102.590   -122.280     84.740
   3285.714   -134.520    339.690    -78.100    105.320   -129.830     88.340
   3357.143   -126.840    330.150    -71.750    111.630   -135.230     87.370
   3428.571   -118.780    320.120    -65.400    114.940   -145.110     88.560
   3500.000   -110.530    309.440    -59.170    117.450   -158.830     88.110
   3571.429   -102.080    297.850    -52.990    119.330   -170.940     91.090
