#         t          x          y          z         vx         vy         vz
      9.100  17359.936  14228.543   9337.973   1981.792   1624.074   1065.335
      9.200  17558.115  14390.950   9444.507   1981.781   1624.065   1065.329
      9.300  17756.292  14553.356   9551.039   1981.771   1624.057   1065.323
      9.400  17954.469  14715.761   9657.571   1981.760   1624.048   1065.318
      9.500  18152.644  14878.166   9764.103   1981.750   1624.039   1065.312
      9.600  18350.819  15040.569   9870.634   1981.740   1624.031   1065.307
      9.700  18548.992  15202.972   9977.164   1981.730   1624.023   1065.301
      9.800  18747.165  15365.374  10083.694   1981.720   1624.015   1065.296
      9.900  18945.336  15527.775  10190.223   1981.711   1624.007   1065.291
     10.000  19143.507  15690.175  10296.752   1981.701   1624.000   1065.286
     10.100  19341.677  15852.575  10403.281   1981.692   1623.992   1065.281
